City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,port lincoln,-34.7333,135.8667,19.13,75,4,4.94,AU,1678437319
132,kousseri,12.0769,15.0306,31.98,20,100,6.17,CM,1678437320
133,svetlogorsk,52.6333,29.7333,-1.19,79,69,3.43,BY,1678437321
134,castro,-24.7911,-50.0119,16.53,99,100,1.76,BR,1678437321
135,todos santos,23.45,-110.2167,19.41,63,79,1.28,MX,1678437323
136,codrington,-38.2667,141.9667,16.74,79,100,2.27,AU,1678437324
137,naze,28.3667,129.4833,19.51,69,0,6.2,JP,1678437325
138,qarqin,37.4185,66.0436,28.86,22,48,13.76,AF,1678437306
139,mount gambier,-37.8333,140.7667,15.04,84,97,2.57,AU,1678437110
140,mae hong son,19.3003,97.9685,36.08,28,20,1.03,TH,1678437327
141,lindas,60.7381,5.16,-4.57,46,67,2.62,NO,1678437327
142,salalah,17.0151,54.0924,29.05,54,40,4.12,OM,1678437031
143,vidim,56.4088,103.1106,-14.56,88,100,4.52,RU,1678437329
144,aksarka,66.5606,67.7975,-5.67,93,99,5.45,RU,1678437330
145,daru,-9.0763,143.2092,27.15,81,7,3.24,PG,1678437331
146,barrow,71.2906,-156.7887,-28.99,76,0,4.12,US,1678437332
147,columbus,39.9612,-82.9988,4.29,91,100,5.14,US,1678437110
148,mahebourg,-20.4081,57.7,27.16,89,75,1.54,MU,1678437333
149,souillac,-20.5167,57.5167,27.21,89,75,1.54,MU,1678436979
150,pinotepa de don luis,16.4167,-97.9167,19.26,86,0,1.42,MX,1678437334
151,chunan,24.5277,110.548,29.29,36,25,5.16,CN,1678437335
152,komsomolskiy,40.4272,71.7189,20.4,40,100,2.06,UZ,1678437336
153,faanui,-16.4833,-151.75,27.94,75,100,4.95,PF,1678437128
154,selma,36.5708,-119.6121,12.88,96,100,4.12,US,1678437337
155,areosa,41.7178,-8.8571,13.39,97,57,4.64,PT,1678436752
156,hearst,49.6835,-83.6665,-16.86,100,100,1.67,CA,1678437339
157,coihaique,-45.5752,-72.0662,11.97,66,0,1.54,CL,1678436953
158,cururupu,-1.8283,-44.8683,22.6,99,100,1.25,BR,1678437340
159,chuy,-33.6971,-53.4616,18.58,94,31,2.4,UY,1678437341
160,vardo,70.3705,31.1107,-11.01,73,20,8.75,NO,1678437342
161,vanavara,60.34,102.2797,-13.08,78,100,4.81,RU,1678436918
162,srednekolymsk,67.45,153.6833,-30.13,100,6,0.83,RU,1678436897
163,warrington,53.3925,-2.5802,2.15,92,75,5.14,GB,1678437344
